id,len,date,orig_file,lang,title
 ,1044,2000-01-04,../html/2000/2000_14432_DE.html,DE,Innovatives Ausbildungsprojekt für Asyl Suchende aus dem Kosovo
 ,2901,2000-01-04,../html/2000/2000_14378_DE.html,DE,Abschluss der Herbstjagd 1999
 ,3670,2000-01-04,../html/2000/2000_14379_IT.html,IT,Conclusione delle cacce di tardo autunno 1999
 ,6592,2000-01-04,../html/2000/2000_14419_RM.html,RM,Fin da la chatscha d'atun 1999
 ,2529,2000-01-20,../html/2000/2000_14586_DE.html,DE,Grossrätliche Vorberatungskommission behandelt Teilrevision der Verordnung über die Talschaftssekundarschulen im Kanton Graubünden
 ,2755,2000-01-20,../html/2000/2000_14560_DE.html,DE,"Graubünden hilft ""Lothar""-Schäden in anderen Kantonen zu beheben"
 ,4302,2000-01-20,../html/2000/2000_14535_DE.html,DE,Änderungen bei Arbeitslosen-Versicherung und Insolvenzentschädigung
 ,2751,2000-01-20,../html/2000/2000_14566_IT.html,IT,"Il Cantone dei Grigioni aiuta gli altri Cantoni a porre rimedio ai danni causati da ""Lothar"""
 ,4457,2000-01-20,../html/2000/2000_14550_IT.html,IT,Modifiche nell'assicurazione contro la disoccupazione e nell'indennità per insolvenza
 ,6380,2000-01-20,../html/2000/2000_14600_IT.html,IT,La commissione preparatoria del Gran Consiglio tratta la revisione parziale dell'ordinanza concernente le scuole secondarie di valle nel Cantone dei Grigioni
 ,1840,2000-01-20,../html/2000/2000_14056_RM.html,RM,La cumissiun predeliberanta dal cussegl grond tracta la revisiun parziala da l'ordinaziun davart las scolas secundaras da vallada en il chantun Grischun
 ,2113,2000-01-20,../html/2000/2000_14578_RM.html,RM,"Il Grischun gida a reparar ils donns da ""Lothar"" en auters chantuns"
 ,5020,2000-01-20,../html/2000/2000_14555_RM.html,RM,Midadas tar l'assicuranza da dischoccupads e l'indemnisaziun per insolvenza
 ,3403,2000-01-23,../html/2000/2000_14091_DE.html,DE,Isolieren zahlt sich mehrfach aus
 ,949,2000-01-25,../html/2000/2000_14135_DE.html,DE,"Neue Arge-Alp-Broschüre mit Benimm-Regeln in den ""Alpen"""
 ,4191,2000-01-25,../html/2000/2000_14111_DE.html,DE,"Probealarm am Mittwoch, 2. Februar 2000 um 13.30 Uhr"
 ,5466,2000-01-25,../html/2000/2000_14125_IT.html,IT,Allarme di prova annunciato per mercoledì 2 febbraio 2000 alle ore 13.30
 ,3360,2000-01-25,../html/2000/2000_14144_RM.html,RM,"Ina nova broschura da la Arge Alp cuntegna las reglas da cumportament en las ""Alps"""
 ,3719,2000-01-25,../html/2000/2000_14138_IT.html,IT,"Nuovo opuscolo dell'Arge-Alp su come comportarsi nelle ""Alpi"""
 ,7781,2000-01-25,../html/2000/2000_14127_RM.html,RM,Alarm da prova dals 2 da favrer 2000 allas uras 13.30
 ,873,2000-01-27,../html/2000/2000_14158_IT.html,IT,Almeno un grande casinò nei Grigioni e un Kursaal in ogni regione
 ,5346,2000-01-27,../html/2000/2000_14151_DE.html,DE,Mindestens ein Grand Casino in Graubünden und in jeder Region ein Kursaal
 ,7202,2000-01-27,../html/2000/2000_14191_DE.html,DE,"Graubünden trifft Vorbereitungen für die Rückkehr von Luchs, Wolf und Bär"
 ,1183,2000-01-27,../html/2000/2000_14210_IT.html,IT,"I Grigioni stanno facendo i preparativi per il ritorno della lince, del lupo e dell'orso"
 ,4249,2000-01-27,../html/2000/2000_14168_RM.html,RM,Almain in Grand Casino en il Grischun ed ina sala da gieu en scadina regiun
 ,5053,2000-01-27,../html/2000/2000_14217_RM.html,RM,"Il Grischun sa prepara per il return dal luf-tscherver, il luf e da l'urs"
 ,5323,2000-01-28,../html/2000/2000_14225_DE.html,DE,Regierung trifft sich mit hohen Armee-Offizieren
 ,1498,2000-02-02,../html/2000/2000_14286_IT.html,IT,Si aprono nuove porte per il perfezionamento professionale dei docenti
 ,3504,2000-02-02,../html/2000/2000_14304_DE.html,DE,Erste Auswertung des Probealarms vom 2. Februar 2000
 ,4836,2000-02-02,../html/2000/2000_14262_DE.html,DE,Lehrer/innenfortbildung auf neuen Wegen
 ,2759,2000-02-02,../html/2000/2000_14320_IT.html,IT,Prima valutazione della prova d'allarme del 2 febbraio 2000
 ,3603,2000-02-02,../html/2000/2000_14272_RM.html,RM,Il perfecziunament dals magisters e da las magistras va en ina nova direcziun
 ,3891,2000-02-02,../html/2000/2000_14324_RM.html,RM,Emprema valitaziun da l'alarm da prova dals 2. da favrer 2000
 ,1903,2000-02-03,../html/2000/2000_14341_DE.html,DE,Riverrafting in Graubünden soll gesetzlich geregelt werden
 ,3214,2000-02-03,../html/2000/2000_14330_IT.html,IT,Contributi per la riduzione dei premi 2000 delle casse malati
 ,8587,2000-02-03,../html/2000/2000_14327_DE.html,DE,Beiträge zur Verbilligung der Krankenkassen-Prämien 2000
 ,1029,2000-02-03,../html/2000/2000_14337_RM.html,RM,Contribuziuns per reducir las premias da las cassas da malsauns 2000
 ,1095,2000-02-03,../html/2000/2000_14374_RM.html,RM,En il Grischun duai il riverrafting vegnir reglà en ina lescha
 ,2065,2000-02-03,../html/2000/2000_14349_IT.html,IT,Il riverrafting nei Grigioni necessita di basi legali
 ,1469,2000-02-17,../html/2000/2000_14400_DE.html,DE,Ärztlich kontrollierte Heroinabgabe an Schwerstsüchtige in Ambulatorium Chur
 ,3663,2000-02-17,../html/2000/2000_14403_DE.html,DE,Kanton schafft Fachstelle Kindesschutz
 ,3878,2000-02-17,../html/2000/2000_14407_DE.html,DE,Kanton soll 7 Millionen an Ski WM 2003 im Oberengadin beisteuern
 ,1476,2000-02-17,../html/2000/2000_14401_IT.html,IT,Somministrazione di eroina sotto controllo medico a persone gravemente dipendenti presso l'Ambulatorio di Coira
 ,2688,2000-02-17,../html/2000/2000_14404_IT.html,IT,Il Cantone crea un ufficio specializzato per la tutela dei bambini
 ,2889,2000-02-17,../html/2000/2000_14408_IT.html,IT,Il Cantone intende contribuire con 7 milioni ai campionati mondiali di sci del 2003 in Alta Engadina
 ,3127,2000-02-17,../html/2000/2000_14402_RM.html,RM,Consegna da heroin controllada dal medi a toxicomans fermamain dependents en l'ambulatori a Cuira
 ,10376,2000-02-17,../html/2000/2000_14405_RM.html,RM,Il chantun creescha in post spezialisà per la protecziun da l'uffant
 ,11127,2000-02-17,../html/2000/2000_14409_RM.html,RM,Il chantun duai contribuir 7 milliuns per il CM 2003 da skis en l'Engiadin'ota
 ,1606,2000-02-24,../html/2000/2000_14420_DE.html,DE,Lebensraum Alpen erhalten und weiter entwickeln
 ,1698,2000-02-24,../html/2000/2000_14425_IT.html,IT,Imparare dai danni causati da Vivian per quelli di Lothar
 ,1700,2000-02-24,../html/2000/2000_14422_RM.html,RM,Mantegnair e sviluppar il spazi da viver en las Alps
 ,1768,2000-02-24,../html/2000/2000_14421_IT.html,IT,Salvaguardare e sviluppare ulteriormente lo spazio vitale delle Alpi
 ,3831,2000-02-24,../html/2000/2000_14424_DE.html,DE,Aus Vivian-Schäden für Lothar lernen
 ,4780,2000-02-24,../html/2000/2000_14426_RM.html,RM,Emprender dals donns chaschunads da Vivian per quels da Lothar
 ,5034,2000-02-24,../html/2000/2000_14423_DE.html,DE,Präsidium der Gebirgskantone geht von Graubünden über auf Glarus
 ,4466,2000-02-29,../html/2000/2000_14427_IT.html,IT,Correzione del testo italiano sui progetti in votazione il prossimo 12 marzo nei Grigioni (Riforma giudiziaria)
 ,1581,2000-03-10,../html/2000/2000_14438_DE.html,DE,Sauber und billig Heizen
 ,2080,2000-03-10,../html/2000/2000_14441_DE.html,DE,Sachplan Übertragungsleitungen (SÜL) liegt öffentlich auf
 ,3170,2000-03-10,../html/2000/2000_14444_DE.html,DE,Ja zur Bereinigung des Bündner Rechts
 ,1593,2000-03-10,../html/2000/2000_14442_IT.html,IT,Esposizione pubblica del piano settoriale elettrodotti (PSE)
 ,1653,2000-03-10,../html/2000/2000_14439_IT.html,IT,Riscaldare ecologicamente e a buon mercato
 ,2027,2000-03-10,../html/2000/2000_14445_IT.html,IT,Sì all'adeguamento del diritto grigionese
 ,1769,2000-03-10,../html/2000/2000_14447_RM.html,RM,In gea tar la repassada dal dretg grischun
 ,1798,2000-03-10,../html/2000/2000_14443_RM.html,RM,Il plan sectoral lingias da transmissiun (PSL) vegn exponì publicamain
 ,2915,2000-03-10,../html/2000/2000_14440_RM.html,RM,Stgaudar net e bunmartgà
 ,3457,2000-03-12,../html/2000/2000_14406_DE.html,DE,"Resultate der Volksabstimmung vom Sonntag, 12. März 2000"
 ,1798,2000-03-15,../html/2000/2000_14458_DE.html,DE,Bericht über Liberalisierung des Strommarkts einstimmig verabschiedet
 ,2812,2000-03-15,../html/2000/2000_14450_RM.html,RM,La regenza da Bulsaun-Tirol dal sid sin visita en il Grischun
 ,3035,2000-03-15,../html/2000/2000_14460_RM.html,RM,Il rapport davart la liberalisaziun dal martgà d'electricitad vegn deliberà unanimamain
