id,len,date,orig_file,lang,title
 ,966,2005-01-12,../html/2005/2005_16846_IT.html,IT,"Il Governo approva il concetto di base ""rumantsch grischun a scuola"""
 ,2684,2005-01-12,../html/2005/2005_16861_DE.html,DE,Antworten auf parlamentarische Vorstösse auf www.gr.ch
 ,2864,2005-01-12,../html/2005/2005_16842_DE.html,DE,"Regierung verabschiedet Grobkonzept ""Rumantsch Grischun in der Schule"""
 ,3625,2005-01-12,../html/2005/2005_16853_RM.html,RM,"La regenza deliberescha il concept general ""rumantsch grischun en scola"""
 ,5620,2005-01-26,../html/2005/2005_16515_DE.html,DE,Sanierung Kantonsschule Chur - Submissionsverfahren wird eröffnet
 ,1465,2005-02-15,../html/2005/2005_16688_DE.html,DE,Klinik-Schliessungen in Davos - Beratungs- und Betreuungsangebot für stellensuchende KlinikmitarbeiterInnen
 ,9707,2005-02-15,../html/2005/2005_16686_IT.html,IT,Concluse nel Cantone le misurazioni per determinare la presenza di radon
 ,10878,2005-02-15,../html/2005/2005_16685_DE.html,DE,Radonmessungen zur Gebietseinteilung im Kanton abgeschlossen
 ,1687,2005-02-15,../html/2005/2005_16689_IT.html,IT,Chiusura di cliniche a Davos - Offerta di consulenza e di assistenza per collaboratrici e collaboratori delle cliniche alla ricerca di un impiego
 ,1818,2005-02-15,../html/2005/2005_16690_RM.html,RM,Serradas da clinicas a Tavau - Purschida da cussegliaziun e d'assistenza per las collavuraturas e per ils collavuraturs da las clinicas che tschertgan plazza
 ,12114,2005-02-15,../html/2005/2005_16687_RM.html,RM,Las mesiraziuns da radon per la classificaziun dal territori en il chantun èn terminadas
 ,1494,2005-03-08,../html/2005/2005_16708_DE.html,DE,Neue Botschaften der Regierung an den Grossen Rat auf www.gr.ch
 ,1482,2005-03-10,../html/2005/2005_16710_DE.html,DE,Kapo übernimmt Gemeindepolizei-Aufgaben in Poschiavo
 ,4357,2005-03-10,../html/2005/2005_16712_DE.html,DE,Gleichstellung von Männern und Frauen in Graubünden - Zahlen und Fakten
 ,7829,2005-03-10,../html/2005/2005_16709_IT.html,IT,La Polizia cantonale rileva i compiti di polizia comunale a Poschiavo
 ,1279,2005-03-10,../html/2005/2005_16713_IT.html,IT,Parità dei diritti tra uomini e donni nei Grigioni - cifre e fatti
 ,1337,2005-03-10,../html/2005/2005_16711_RM.html,RM,La polizia chantunala surpiglia incumbensas da la polizia communala a Puschlav
 ,1683,2005-03-10,../html/2005/2005_16714_RM.html,RM,Egualitad dals umens e da las dunnas en il Grischun - Cifras e fatgs
 ,1136,2005-03-17,../html/2005/2005_16724_IT.html,IT,Cassa cantonale pensioni: definiti i dettagli per il finanziamento residuo
 ,1141,2005-03-17,../html/2005/2005_16725_RM.html,RM,Il dretg da lavur per interpresas da take-away e per servetschs da furniziun è vegnì schluccà
 ,1256,2005-03-17,../html/2005/2005_16726_DE.html,DE,42. Plenarkonferenz der Ostschweizer Kantonsregierungen - Bahnpolitik beschäftigt Ostschweizer Kantone weiter
 ,1692,2005-03-17,../html/2005/2005_16720_IT.html,IT,Allentata la regolamentazione del diritto del lavoro per i servizi take-away e i servizi di fornitura
 ,4081,2005-03-17,../html/2005/2005_16722_DE.html,DE,Arbeitsrecht für Take-Away-Betriebe und Lieferdienste gelockert
 ,4373,2005-03-17,../html/2005/2005_16721_RM.html,RM,Cassa da pensiun chantunala: Ils detagls davart la finanziaziun restanta èn reglads
 ,4609,2005-03-17,../html/2005/2005_16723_DE.html,DE,Kantonale Pensionskasse: Details zur Ausfinanzierung sind festgelegt
 ,1430,2005-03-22,../html/2005/2005_16729_IT.html,IT,Il Governo approva nuove direttive per le zone di moderazione del traffico
 ,1716,2005-03-22,../html/2005/2005_16728_DE.html,DE,Regierung verabschiedet neue Richtlinien für Verkehrsberuhigungszonen
 ,2830,2005-03-22,../html/2005/2005_16730_RM.html,RM,La regenza deliberescha las novas directivas per las zonas per quietar il traffic
 ,3287,2005-03-22,../html/2005/2005_16727_DE.html,DE,Antworten auf parlamentarische Vorstösse auf www.gr.ch
 ,1654,2005-03-23,../html/2005/2005_16731_DE.html,DE,Kriterien für oder gegen die Revisionspflicht bei Stiftungen neu festgelegt
 ,1827,2005-03-23,../html/2005/2005_16734_DE.html,DE,Aufnahmeprüfungen an die Bündner Mittelschulen - Deutschprüfung für Romanischsprechende wird wiederholt
 ,4917,2005-03-23,../html/2005/2005_16737_DE.html,DE,Geplante Sägewerk-Ansiedlung im Kanton Graubünden
 ,1444,2005-03-23,../html/2005/2005_16732_IT.html,IT,Ridefiniti i criteri a favore o contro l'obbligo di revisione per le fondazioni
 ,1796,2005-03-23,../html/2005/2005_16738_IT.html,IT,Previsto insediamento di una segheria nel Cantone dei Grigioni
 ,4124,2005-03-23,../html/2005/2005_16735_IT.html,IT,Esami d'ammissione alle Scuole medie grigioni - Esame di tedesco per le candidate e i candidati di lingua romanicia deve essere ripetuto
 ,1694,2005-03-23,../html/2005/2005_16736_RM.html,RM,Examens d'admissiun a las scolas medias grischunas - Examen da tudestg per candidats da linguatg rumantsch vegnir repeti
 ,3405,2005-03-23,../html/2005/2005_16733_RM.html,RM,Fixà da nov ils criteris concernent in'obligaziun da revisiun tar fundaziuns
 ,4761,2005-03-23,../html/2005/2005_16739_RM.html,RM,Construir ina resgia en il chantun Grischun
 ,1358,2005-04-20,../html/2005/2005_16762_DE.html,DE,Parlamentarische Vorstösse der April-Session 2005 auf www.gr.ch
 ,1513,2005-04-21,../html/2005/2005_16763_IT.html,IT,Le tasse per la licenza di caccia aumentano di oltre l'uno percento
 ,4535,2005-04-21,../html/2005/2005_16764_DE.html,DE,Jagdgebühren steigen um gut ein Prozent
 ,4731,2005-04-21,../html/2005/2005_16766_DE.html,DE,Johannes Flury wird neuer Rektor der Pädagogischen Hochschule
