id,len,date,orig_file,lang,title
 ,7627,2004-01-12,../html/2004/2004_16337_DE.html,DE,Antworten auf parlamentarische Vorstösse auf www.gr.ch
 ,1979,2004-01-15,../html/2004/2004_16374_IT.html,IT,Programma di risanamento: la seconda parte delle modifiche legislative va in Parlamento
 ,3097,2004-01-15,../html/2004/2004_16411_DE.html,DE,Kommission für Bildung und Kultur des Grossen Rates: Neubau und Sanierung der Bündner Kantonsschule Chur befürwortet
 ,3436,2004-01-15,../html/2004/2004_16367_DE.html,DE,Sanierungsprogramm: Zweite Tranche von Gesetzesänderungen kommt vors Parlament
 ,7483,2004-01-15,../html/2004/2004_16395_RM.html,RM,Program da sanaziun: la segunda etappa da midadas da leschas vegn suttamessa al parlament
 ,1576,2004-02-04,../html/2004/2004_16253_DE.html,DE,Firmen-Neugründung der Firma KaVo Swiss AG in Zizers
 ,499,2004-02-12,../html/2004/2004_16267_RM.html,RM,Las taxas pauschalas dals servetschs psichiatrics vegnan auzadas
 ,1335,2004-02-12,../html/2004/2004_16265_DE.html,DE,Pauschaltaxen der psychiatrischen Dienste werden erhöht
 ,6306,2004-02-12,../html/2004/2004_16266_IT.html,IT,Aumentate le tariffe forfettarie dei Servizi psichiatrici
 ,10633,2004-02-12,../html/2004/2004_16264_DE.html,DE,Neue Botschaften der Regierung an den Grossen Rat auf www.gr.ch
 ,4202,2004-02-13,../html/2004/2004_16268_DE.html,DE,Parlamentarische Vorstösse der Februar-Session 2004 auf www.gr.ch
 ,1348,2004-02-26,../html/2004/2004_16279_DE.html,DE,Olympische Winterspiele Zürich 2014: Regierung will den Einbezug von Graubünden
 ,4240,2004-02-26,../html/2004/2004_16275_DE.html,DE,Hausverbot für Gewalttäter soll kommen
 ,4718,2004-02-26,../html/2004/2004_16277_IT.html,IT,Richiesta l'espulsione dall'abitazione degli autori di violenza
 ,1208,2004-02-26,../html/2004/2004_16278_RM.html,RM,Il scumond da metter pe en chasa per delinquents violents duai vegnir
 ,1363,2004-02-26,../html/2004/2004_16281_IT.html,IT,Giochi olimpici invernali Zurigo 2014: il Governo vuole il coinvolgimento dei Grigioni
 ,4688,2004-02-26,../html/2004/2004_16282_RM.html,RM,Gieus olimpics d'enviern 2014 a Turitg: la regenza vul l'integraziun dal Grischun
 ,1870,2004-03-18,../html/2004/2004_16304_DE.html,DE,41. Plenarkonferenz der Ostschweizer Kantonsregierungen in Schaffhausen
 ,3823,2004-03-24,../html/2004/2004_16305_DE.html,DE,Antworten auf parlamentarische Vorstösse auf www.gr.ch
 ,559,2004-04-07,../html/2004/2004_16334_DE.html,DE,Swisscom Broadcast AG übernimmt die Aktienmehrheit der Tele Rätia AG
 ,7049,2004-04-07,../html/2004/2004_16331_DE.html,DE,Das Bündner Sprachenkonzept vor dem Hintergrund der EDK-Empfehlungen
 ,7360,2004-04-07,../html/2004/2004_16328_DE.html,DE,In die Selbstständigkeit entlassen: Vernehmlassung zu den Gesetzen über die PFH und die HTW eröffnet
 ,1726,2004-04-07,../html/2004/2004_16335_IT.html,IT,Swisscom Broadcast SA rileva la maggioranza del capitale azionario di Tele Rätia AG
 ,6404,2004-04-07,../html/2004/2004_16329_IT.html,IT,Resi indipendenti: aperta la procedura di consultazione relativa alle leggi sulla SUP e sull'UTE
 ,8284,2004-04-07,../html/2004/2004_16332_IT.html,IT,Il concetto grigionese delle lingue in relazione alle raccomandazioni della CDPE
 ,1622,2004-04-07,../html/2004/2004_16333_RM.html,RM,Il concept grischun da linguas sut l'aspect da las recumandaziuns da la CDEP
 ,1778,2004-04-07,../html/2004/2004_16336_RM.html,RM,La swisscom broadcast SA surpiglia la maioritad da las aczias da la tele rätia SA.
 ,8805,2004-04-07,../html/2004/2004_16330_RM.html,RM,Relaschada en l'independenza: la consultaziun tar las consultaziun tar las leschas davart la SAP e davart la SATE è avertaleschas davart la SAP e davart la SATE è averta
 ,972,2004-04-23,../html/2004/2004_16341_DE.html,DE,Parlamentarische Vorstösse der April-Session 2004 auf www.gr.ch
 ,1091,2004-04-29,../html/2004/2004_16342_DE.html,DE,Auch Graubünden beteiligt sich an den Kosten der Beherbergungsstatistik
 ,2653,2004-04-29,../html/2004/2004_16348_DE.html,DE,Gesamtkonzept Neubau und Sanierung der Bündner Kantonsschule - entscheidende Weichenstellung für die Zukunft
 ,5554,2004-04-29,../html/2004/2004_16345_DE.html,DE,Surselva bewirbt sich um Auswärtssession der eidgenössischen Räte
 ,1043,2004-04-29,../html/2004/2004_16343_IT.html,IT,Anche i Grigioni partecipano alle spese della statistica dei pernottamenti
 ,3760,2004-04-29,../html/2004/2004_16349_IT.html,IT,"Concetto globale ""Nuova costruzione e risanamento della Scuola cantonale grigione"" - decisione importante per il futuro"
 ,6892,2004-04-29,../html/2004/2004_16346_IT.html,IT,La Surselva si candida per una sessione esterna delle Camere federali
 ,1333,2004-04-29,../html/2004/2004_16350_RM.html,RM,Concept general davart la construcziun e sanaziun da la scola chantunala grischuna - prender ina decisiun determinanta per l'avegnir
 ,3555,2004-04-29,../html/2004/2004_16347_RM.html,RM,La Surselva s'annunzia per la sessiun en la regiun da las chombras federalas
 ,6026,2004-04-29,../html/2004/2004_16344_RM.html,RM,Er il Grischun sa participescha als custs da la statistica d'alloschament
 ,3123,2004-05-06,../html/2004/2004_16353_IT.html,IT,"Disegno della ""Legge sui diritti politici"""
 ,3916,2004-05-06,../html/2004/2004_16351_DE.html,DE,"Entwurf des ""Gesetzes über die politischen Rechte"""
 ,4130,2004-05-06,../html/2004/2004_16354_DE.html,DE,Vernehmlassung: Volksrechte mit zahlreichen Neuerungen
 ,926,2004-05-06,../html/2004/2004_16355_IT.html,IT,Consultazione: diritti popolari con diverse novità
 ,2324,2004-05-06,../html/2004/2004_16352_RM.html,RM,"Sboz da la ""lescha davart il dretgs politics"""
 ,4808,2004-05-06,../html/2004/2004_16356_RM.html,RM,Consultaziun: numerusas novaziuns per ils dretgs dal pievel
 ,5107,2004-05-12,../html/2004/2004_16357_DE.html,DE,Zum Rücktritt von Regierungspräsident Klaus Huber
 ,5122,2004-05-17,../html/2004/2004_16364_IT.html,IT,Incontro sulle tematiche ambientali tra i cantoni Grigioni e Ticino
 ,3459,2004-05-19,../html/2004/2004_16369_DE.html,DE,Bündner Bibliotheksmitarbeiterinnen feiern
 ,1999,2004-05-25,../html/2004/2004_16378_DE.html,DE,Regierungs-Ersatzwahl: Stimmvolk entscheidet am 26. September
 ,2835,2004-05-25,../html/2004/2004_16379_IT.html,IT,Nomina sostitutiva del Governo: il Popolo deciderà il 26 settembre
 ,3098,2004-05-25,../html/2004/2004_16377_DE.html,DE,Antworten auf parlamentarische Vorstösse auf www.gr.ch
