id,len,date,orig_file,lang,title
 ,1684,1999-01-22,../html/1999/1999_13905_IT.html,IT,Rettifica concernente l'assistenza psichiatrica nel Moesano
 ,3442,1999-01-22,../html/1999/1999_13892_DE.html,DE,Richtigstellung betreffend psychiatrische Versorgung des Moesano
 ,10038,1999-01-22,../html/1999/1999_13907_DE.html,DE,Entwurf zum Sachplan Infrastruktur der Luftfahrt liegt öffentlich auf
 ,864,1999-01-26,../html/1999/1999_13961_IT.html,IT,Il Governo incontra alti ufficiali dell'Esercito
 ,1434,1999-01-26,../html/1999/1999_13909_DE.html,DE,Bündnerischer Finanzausgleich wird weiter verfeinert
 ,2385,1999-01-26,../html/1999/1999_13968_RM.html,RM,La regenza sa scuntra cun uffiziers superiurs da l'armada
 ,2928,1999-01-26,../html/1999/1999_13947_RM.html,RM,Mandat individual da prestaziun per las clinicas sichiatricas Beverin e Waldhaus
 ,3190,1999-01-26,../html/1999/1999_13930_DE.html,DE,Individueller Leistungsauftrag für Psych. Kliniken Beverin und Waldhaus
 ,3670,1999-01-26,../html/1999/1999_13955_DE.html,DE,Regierung trifft sich mit hohen Armee-Offizieren
 ,4576,1999-01-26,../html/1999/1999_13961_DE.html,DE,Il Governo incontra alti ufficiali dell'Esercito
 ,4681,1999-01-26,../html/1999/1999_13913_IT.html,IT,Il conguaglio finanziario dei Grigioni viene ulteriormente perfezionato
 ,5599,1999-01-26,../html/1999/1999_13923_RM.html,RM,La gulivaziun da finanzas dal Grischun vegn perfecziunada anc pli fitg
 ,9498,1999-01-26,../html/1999/1999_13941_IT.html,IT,Mandato di prestazioni individuale per le cliniche psichiatriche Beverin e Waldhaus
 ,1473,1999-01-28,../html/1999/1999_14011_DE.html,DE,"""Jugend + Sport"" liegt voll im Trend, Graubünden ist Spitze"
 ,1678,1999-01-28,../html/1999/1999_13984_DE.html,DE,Kanton bereitet sich aufs Eherecht 2000 vor
 ,7987,1999-01-28,../html/1999/1999_13970_DE.html,DE,"Probealarm am Mittwoch, 3. Februar 1999, um 13.30 Uhr"
 ,1253,1999-01-28,../html/1999/1999_13990_IT.html,IT,Il Cantone si prepara al diritto matrimoniale 2000
 ,2551,1999-01-28,../html/1999/1999_13973_IT.html,IT,Allarme di prova annunciato per mercoledì 3 febbraio 1999 alle ore 13.30
 ,6139,1999-01-28,../html/1999/1999_14020_IT.html,IT,"""Gioventù e sport"" sulla cresta dell'onda, i Grigioni in testa alla classifica"
 ,2027,1999-01-28,../html/1999/1999_13978_RM.html,RM,Alarm da prova dals 3 da favrer 1999 allas uras 13.30
 ,5343,1999-01-28,../html/1999/1999_14000_RM.html,RM,Il chantun sa prepara sin il dretg matrimonial 2000
 ,7042,1999-01-28,../html/1999/1999_14030_RM.html,RM,"""Giuventetgna+sport"" è dal tuttafatg en il trend, il Grischun a la testa"
