id,len,date,orig_file,lang,title
 ,3849,2003-01-10,../html/2003/2003_15734_IT.html,IT,La caccia grigione con sistema a licenza adempie ai suoi compiti
 ,3927,2003-01-10,../html/2003/2003_15778_DE.html,DE,Erster Schweizer Pass in Graubünden geht an Regierungspräsident Stefan Engler
 ,4173,2003-01-10,../html/2003/2003_16128_DE.html,DE,Die Bündner Patentjagd erfüllt ihre Aufgaben
 ,7168,2003-01-10,../html/2003/2003_15751_RM.html,RM,La chatscha grischuna da patenta fa ses pensums
 ,893,2003-01-16,../html/2003/2003_15817_DE.html,DE,Nationalparkgesetz darf nicht aufgehoben werden
 ,2039,2003-01-16,../html/2003/2003_15799_IT.html,IT,Carta europea delle lingue regionali e minoritarie - la Svizzera è chiamata ad agire
 ,4958,2003-01-16,../html/2003/2003_15796_DE.html,DE,Europäische Charta der Regional- und Minderheitensprachen - Schweiz gefordert
 ,806,2003-01-16,../html/2003/2003_15808_RM.html,RM,Charta europeica da las linguas regiunalas e minoritaras - la Svizra stuess agir
 ,3462,2003-01-16,../html/2003/2003_15823_IT.html,IT,La Legge sul Parco nazionale non deve essere abrogata
 ,6700,2003-01-16,../html/2003/2003_15841_RM.html,RM,La lescha dal parc naziunal na dastga betg vegnir abrogada
 ,5451,2003-01-22,../html/2003/2003_15860_DE.html,DE,WEF 2003 - Gräben überwinden
 ,1347,2003-02-19,../html/2003/2003_15942_DE.html,DE,Einen Bildband zum Abschluss der kantonalen Expo.02- Projekte
 ,6021,2003-02-19,../html/2003/2003_15944_RM.html,RM,In cudesch illustrà davart la fin dals projects chantunals per l'Expo.02
 ,6437,2003-02-19,../html/2003/2003_15943_IT.html,IT,Un volume illustrato a conclusione dei progetti cantonali per Expo.02
 ,6872,2003-02-19,../html/2003/2003_15945_DE.html,DE,"Stellungnahme der GPK in Sachen ""Budgetbeschlüsse 2003"
 ,7149,2003-02-21,../html/2003/2003_15950_DE.html,DE,"Sechs statt 18 Dienststellen im Erziehungs-, Kultur- und Umweltschutzdepartement"
 ,4968,2003-02-25,../html/2003/2003_15954_DE.html,DE,Zur Zeit bemerkenswert hohe Luftverschmutzung in tiefen Lagen der Alpennordseite - Geringere Belastung auf der Alpensüdseite
 ,5305,2003-02-25,../html/2003/2003_15953_RM.html,RM,"Recumandà da refusar la ""iniziativa per mantegnair l'egualitad da las schanzas da la giuventetgna grischuna"""
 ,5768,2003-02-25,../html/2003/2003_15955_DE.html,DE,Antworten auf parlamentarische Vorstösse auf www.gr.ch
 ,7826,2003-02-25,../html/2003/2003_15952_IT.html,IT,"""Iniziativa per la salvaguardia delle pari opportunità per i giovani grigionesi"": raccomandato il rifiuto"
 ,8731,2003-02-25,../html/2003/2003_15951_DE.html,DE,"""Initiative zur Wahrung der Chancengleichheit für Bündner Jugend"" wird zur Ablehnung empfohlen"
 ,2399,2003-02-27,../html/2003/2003_15956_DE.html,DE,Nachtragsbudget 2003 auf www.gr.ch
 ,2609,2003-02-27,../html/2003/2003_15959_DE.html,DE,Höhere Gebühren beim Strassenverkehrsamt
 ,2761,2003-02-27,../html/2003/2003_15958_IT.html,IT,Preventivo aggiuntivo 2003 su www.gr.ch
 ,207,2003-02-27,../html/2003/2003_15957_RM.html,RM,Il preventiv posteriur 2003 sin www.gr.ch
 ,3075,2003-02-27,../html/2003/2003_15960_IT.html,IT,Tasse più elevate all'Ufficio della circolazione
 ,7394,2003-02-27,../html/2003/2003_15961_RM.html,RM,Taxas pli autas tar l'uffizi per il traffic sin via
 ,491,2003-03-05,../html/2003/2003_15970_DE.html,DE,Leichte Zunahme des Stromverbrauchs und unterdurchschnittliche Stromproduktion
 ,1369,2003-03-05,../html/2003/2003_15971_IT.html,IT,Leggero aumento del consumo di elettricità e produzione di elettricità inferiore alla media
 ,1638,2003-03-05,../html/2003/2003_15972_RM.html,RM,Lev augment dal consum d'electricitad e producziun d'electricitad sut la media
 ,2171,2003-03-05,../html/2003/2003_15965_DE.html,DE,BGS Chur gibt sich für Aufbauphase neue Struktur
 ,6690,2003-03-05,../html/2003/2003_15967_RM.html,RM,Il CSS Cuira sa dat ina nova structura per la fasa da svilup
 ,7260,2003-03-05,../html/2003/2003_15966_IT.html,IT,Il CSS Coira si dà una nuova struttura per la fase di sviluppo
 ,7860,2003-03-05,../html/2003/2003_15968_DE.html,DE,Lange Bestellfristen für neue Schweizer Pässe - Im Notfall ist ein provisorischer Pass erhältlich
 ,1652,2003-03-11,../html/2003/2003_15976_DE.html,DE,Antworten auf parlamentarische Vorstösse auf www.gr.ch
 ,90,2003-03-13,../html/2003/2003_15980_RM.html,RM,"La regenza vul promover la ""administraziun digitala"""
 ,2088,2003-03-13,../html/2003/2003_15981_DE.html,DE,Regierung schlägt 212 Massnahmen zur Haushaltsanierung vor
 ,2170,2003-03-13,../html/2003/2003_15983_RM.html,RM,La regenza propona 212 mesiras per sanar las finanzas dal chantun
 ,2283,2003-03-13,../html/2003/2003_15982_IT.html,IT,Il Governo propone 212 misure per il risanamento delle finanze
 ,4777,2003-03-13,../html/2003/2003_15979_IT.html,IT,"Il Governo vuole promuovere ""l'amministrazione digitale"""
 ,4880,2003-03-13,../html/2003/2003_15977_DE.html,DE,"Entwurf der Waldentwicklungsplanung ""Safien"" liegt vor"
 ,5012,2003-03-13,../html/2003/2003_15978_DE.html,DE,"Regierung will die ""digitale Verwaltung"" fördern"
 ,532,2003-03-20,../html/2003/2003_15994_DE.html,DE,Vorschriften für Transport und Entsorgung von Abfällen werden ausgeweitet
 ,1603,2003-03-20,../html/2003/2003_15996_IT.html,IT,Estese le prescrizioni per il trasporto e l'eliminazione di rifiuti
 ,1840,2003-03-20,../html/2003/2003_15998_DE.html,DE,200 Jahre Kanton Graubünden in der Eidgenossenschaft - und wo bleibt die Geschichte?
 ,1898,2003-03-20,../html/2003/2003_16000_RM.html,RM,200 onns chantun Grischun en la Confederaziun - e nua è l'istorgia?
 ,2381,2003-03-20,../html/2003/2003_15999_IT.html,IT,200 anni del Cantone dei Grigioni nella Confederazione - e la storia dov'è rimasta?
 ,2545,2003-03-20,../html/2003/2003_16001_DE.html,DE,Plenarkonferenz der Ostschweizer Kantonsregierungen in Weissbad
 ,7047,2003-03-20,../html/2003/2003_15995_RM.html,RM,Las prescripziuns per il transport e la dismessa dal rument vegnan amplifitgadas
 ,256,2003-03-25,../html/2003/2003_16006_DE.html,DE,E-Government-Strategie des Kantons Graubünden
 ,1201,2003-03-26,../html/2003/2003_16010_DE.html,DE,Parlamentarische Vorstösse der März-Session 2003 auf www.gr.ch (Schluss)
 ,5430,2003-03-26,../html/2003/2003_16008_IT.html,IT,Inizio dei lavori principali nella galleria del San Bernardino
 ,5900,2003-03-26,../html/2003/2003_16007_DE.html,DE,Beginn der Hauptarbeiten im San Bernardino Tunnel
 ,6411,2003-03-26,../html/2003/2003_16009_DE.html,DE,Parlamentarische Vorstösse der März-Session 2003 auf www.gr.ch
 ,5519,2003-03-28,../html/2003/2003_16016_DE.html,DE,Ostschweizer Anschlüsse an Neat und HGV sind gefährdet - Keine Abstriche beim Bahnnetz in der Ostschweiz
 ,1498,2003-04-03,../html/2003/2003_16021_IT.html,IT,La revisione delle Legge sulle pubblicazioni ufficiali non deve indebolire la posizione della lingua romancia
 ,2339,2003-04-03,../html/2003/2003_16024_DE.html,DE,Unwetter 2002 - Ursachenanalyse und Stand der Arbeiten
 ,5968,2003-04-03,../html/2003/2003_16020_DE.html,DE,Revision des Publikationsgesetzes darf Position des Rätoromanischen nicht schwächen
 ,801,2003-04-03,../html/2003/2003_16022_RM.html,RM,La revisiun da la lescha davart las publicaziuns uffizialas na dastga betg indeblir la posiziun dal rumantsch
 ,2387,2003-04-03,../html/2003/2003_16025_IT.html,IT,Maltempo 2002 - Analisi della cause e stato dei lavori
 ,2481,2003-04-03,../html/2003/2003_16026_RM.html,RM,Malauras 2002 - analisa dals motivs e stadi da las lavurs
 ,520,2003-04-08,../html/2003/2003_16031_IT.html,IT,Bilancio statale 2002 / Staatsrechnung 2002 / Quint statal 2002
 ,598,2003-04-08,../html/2003/2003_16032_RM.html,RM,Quint statal 2002 / Bilancio statale 2002 / Staatsrechnung 2002
 ,2916,2003-04-08,../html/2003/2003_16027_DE.html,DE,Verkehrsbehinderungen auf dem Bündner Strassennetz infolge Bauarbeiten im Jahr 2003
 ,2984,2003-04-08,../html/2003/2003_16030_DE.html,DE,Staatsrechnung 2002 / Quint statal 2002 / Bilancio statale 2002
