id,len,date,orig_file,lang,title
 ,691,2006-01-06,../html/2006/2006_16922_DE.html,DE,Informationsdienst - 2006
 ,729,2006-01-06,../html/2006/2006_16925_IT.html,IT,Riorganizzazione dell'Amministrazione cantonale:
 ,4271,2006-01-06,../html/2006/2006_17157_DE.html,DE,Reorganisation der kantonalen Verwaltung:
 ,730,2006-01-06,../html/2006/2006_16926_RM.html,RM,Servetsch d'infurmaziun
 ,2897,2006-01-06,../html/2006/2006_17209_RM.html,RM,Reorganisaziun da l'administraziun chantunala dal Grischun:
 ,3646,2006-01-06,../html/2006/2006_17302_IT.html,IT,Servizio d'informazione
 ,7430,2006-01-16,../html/2006/2006_17183_DE.html,DE,Antworten auf parlamentarische Vorstösse auf www.gr.ch
 ,7745,2006-01-31,../html/2006/2006_17304_DE.html,DE,Aktuelle Verhandlungsgrundlagen des Grossen Rates für die Februar-Session 2006
 ,2819,2006-02-08,../html/2006/2006_16923_IT.html,IT,Il Governo approva la pianificazione delle utilizzazioni di Davos per la torre sullo Schatzalp
 ,3205,2006-02-08,../html/2006/2006_16927_DE.html,DE,Neue Aufgabenteilung im Bündner Tourismus
 ,4001,2006-02-08,../html/2006/2006_17308_DE.html,DE,Regierung genehmigt Davoser Nutzungsplanung für Schatzalp-Turm
 ,2275,2006-02-08,../html/2006/2006_16928_IT.html,IT,Nuova ripartizione dei compiti nel turismo grigionese
 ,2282,2006-02-08,../html/2006/2006_16930_RM.html,RM,Nova repartiziun da las incumbensas en il turissem grischun
 ,3199,2006-02-08,../html/2006/2006_16924_RM.html,RM,La regenza approvescha la planisaziun d'utilisaziun da Tavau per la tur da la Schatzalp
 ,2904,2006-02-15,../html/2006/2006_17068_DE.html,DE,Parlamentarische Vorstösse der Februar-Session 2006 auf www.gr.ch
 ,3099,2006-02-16,../html/2006/2006_17070_DE.html,DE,"Regierung begrüsst Aufhebung der Lex Koller, kritisiert aber die geplanten flankierenden Massnahmen"
 ,4229,2006-02-16,../html/2006/2006_17074_IT.html,IT,"Il Governo è favorevole all'abrogazione della Lex Koller, critica però le previste misure di accompagnamento"
 ,6580,2006-02-16,../html/2006/2006_17114_DE.html,DE,Obligatorische Schule: Kantone sollen zusammenrücken
 ,1697,2006-02-16,../html/2006/2006_17098_RM.html,RM,"La regenza beneventa l'aboliziun da la lex Koller, crititgescha dentant las mesiras accumpagnantas planisadas"
 ,4050,2006-02-16,../html/2006/2006_17141_IT.html,IT,Scuola dell'obbligo: i Cantoni devono avvicinarsi
 ,4284,2006-02-16,../html/2006/2006_17145_RM.html,RM,Scola obligatorica: Ils chantuns duain cooperar
